crop	region	year	mean_phylogenetic_distance	max_T	min_T	mean_T	prt	SR/Abundance	AB_100	AB_75	SR_100	SR_75			
Vicia_faba	Sefro	2018	 75.70 	27.62	13.58	20.6	26.6	FAP1-Control3	6	6	2	2			
Vicia_faba	Sefro	2018	 75.70 	27.62	13.58	20.6	26.6	FAP2-Control1	5	4	1	1			
Vicia_faba	Sefro	2018	 75.70 	27.62	13.58	20.6	26.6	FAP2-Control2	3	2	1	1			
Vicia_faba	Sefro	2018	 75.70 	27.62	13.58	20.6	26.6	FAP2-Control3	5	4	1	1			
Vicia_faba	Sefro	2018	 75.70 	27.62	13.58	20.6	26.6	FAP3-Control1	-1	-1	0	0			
Vicia_faba	Sefro	2018	 75.70 	27.62	13.58	20.6	26.6	FAP3-Control2	-4	-3	0	0			
Vicia_faba	Sefro	2018	 75.70 	27.62	13.58	20.6	26.6	FAP3-Control3	-1	-1	0	0			
Vicia_faba	Sefro	2018	 75.70 	27.62	13.58	20.6	26.6	FAP4-Control1	0	-1	1	0			
Vicia_faba	Sefro	2018	 75.70 	27.62	13.58	20.6	26.6	FAP4-Control2	-3	-3	0	0			
Vicia_faba	Sefro	2018	 75.70 	27.62	13.58	20.6	26.6	FAP4-Control3	0	-1	0	0			
Vicia_faba	Sefro	2018	 75.70 	27.62	13.58	20.6	26.6	FAP5-Control1	-1	-1	1	0			
Vicia_faba	Sefro	2018	 75.70 	27.62	13.58	20.6	26.6	FAP5-Control2	-3	-3	0	0			
Vicia_faba	Sefro	2018	 75.70 	27.62	13.58	20.6	26.6	FAP5-Control3	-1	-1	0	0			
Vicia_faba	Sefro	2019	111.5	22.96	10.38	16.67	41.4	FAP1-Control1	10	0	3	-1			
Vicia_faba	Sefro	2019	111.5	22.96	10.38	16.67	41.4	FAP1-Control2	9	-2	3	-1			
Vicia_faba	Sefro	2019	111.5	22.96	10.38	16.67	41.4	FAP1-Control3	11	0	3	0			
Vicia_faba	Sefro	2019	111.5	22.96	10.38	16.67	41.4	FAP2-Control1	3	-1	1	-1			
Vicia_faba	Sefro	2019	111.5	22.96	10.38	16.67	41.4	FAP2-Control2	2	-2	1	-1			
Vicia_faba	Sefro	2019	111.5	22.96	10.38	16.67	41.4	FAP2-Control3	4	0	1	0			
Vicia_faba	Sefro	2019	111.5	22.96	10.38	16.67	41.4	FAP3-Control1	21	1	5	0			
Vicia_faba	Sefro	2019	111.5	22.96	10.38	16.67	41.4	FAP3-Control2	20	0	5	0			
Vicia_faba	Sefro	2019	111.5	22.96	10.38	16.67	41.4	FAP3-Control3	22	2	5	1			
Vicia_faba	Sefro	2019	111.5	22.96	10.38	16.67	41.4	FAP4-Control1	4	2	1	1			
Vicia_faba	Sefro	2019	111.5	22.96	10.38	16.67	41.4	FAP4-Control2	2	1	1	1			
Vicia_faba	Sefro	2019	111.5	22.96	10.38	16.67	41.4	FAP4-Control3	4	3	1	1			
Vicia_faba	Sefro	2019	111.5	22.96	10.38	16.67	41.4	FAP5-Control1	4	-1	2	0			
Vicia_faba	Sefro	2019	111.5	22.96	10.38	16.67	41.4	FAP5-Control2	3	-2	2	0			
Vicia_faba	Sefro	2019	111.5	22.96	10.38	16.67	41.4	FAP5-Control3	5	0	2	0			
cucurbita_maxima	Sefro	2018	 96.40 	36.82	18.7	27.76	1.8	FAP1-Control1	-4	0	-1	0			
